,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kaeo,-35.1,173.7833,69.01,97,100,8.99,NZ,1613272235
1,Yar-Sale,66.8333,70.8333,-29.18,85,5,4.12,RU,1613272492
2,Busselton,-33.65,115.3333,84.0,41,2,3.0,AU,1613272397
3,Kiryat Gat,31.61,34.7642,51.01,87,0,2.3,IL,1613272441
4,Rikitea,-23.1203,-134.9692,79.74,75,99,10.54,PF,1613272400
5,Benjamín Hill,30.1667,-111.1,61.0,53,76,1.01,MX,1613272493
6,Ushuaia,-54.8,-68.3,41.0,87,40,3.44,AR,1613272346
7,Cape Town,-33.9258,18.4232,69.01,94,40,6.91,ZA,1613272374
8,Tiksi,71.6872,128.8694,-13.52,90,100,8.46,RU,1613272493
9,Havre-St-Pierre,50.2334,-63.5986,3.2,72,1,5.75,CA,1613272494
10,Maningrida,-12.0667,134.2667,88.7,65,37,4.88,AU,1613272494
11,Iquitos,-3.7481,-73.2472,77.0,94,20,2.21,PE,1613272494
12,Albany,42.6001,-73.9662,19.99,40,100,2.71,US,1613272204
13,Nikolskoye,59.7035,30.7861,17.6,86,75,4.47,RU,1613272434
14,Pokhara,28.2333,83.9833,65.34,38,60,1.59,NP,1613272498
15,Saint Anthony,45.0205,-93.218,-7.6,70,1,10.36,US,1613272498
16,Mataura,-46.1927,168.8643,63.66,65,100,1.43,NZ,1613272408
17,Mahébourg,-20.4081,57.7,78.8,83,40,5.75,MU,1613272389
18,Buraidah,26.326,43.975,55.4,76,0,3.29,SA,1613272412
19,Berlevåg,70.8578,29.0864,24.6,88,98,11.88,NO,1613272499
20,Port Elizabeth,-33.918,25.5701,71.6,94,0,6.91,ZA,1613272435
21,Portland,45.5234,-122.6762,30.0,74,90,11.5,US,1613272254
22,Atuona,-9.8,-139.0333,79.29,79,1,15.55,PF,1613272399
23,Kapaa,22.0752,-159.319,77.0,69,90,10.36,US,1613272269
24,Qaanaaq,77.484,-69.3632,8.62,77,0,5.68,GL,1613272411
25,Saint Paul Harbor,57.79,-152.4072,35.22,94,100,29.33,US,1613272500
26,Conceição do Araguaia,-8.2578,-49.2647,74.32,97,100,1.54,BR,1613272500
27,Kolosovka,56.4678,73.611,19.87,98,100,4.38,RU,1613272501
28,Praia,14.9215,-23.5087,68.0,77,20,20.71,CV,1613272474
29,Thompson,55.7435,-97.8558,-20.2,76,20,4.61,CA,1613272427
30,Vaini,-21.2,-175.2,84.2,79,20,10.36,TO,1613272266
31,Kaitangata,-46.2817,169.8464,66.99,61,100,5.01,NZ,1613272401
32,Beringen,51.0507,5.2216,23.0,58,70,5.75,BE,1613272501
33,Puerto Ayora,-0.7393,-90.3518,77.0,90,100,1.01,EC,1613272406
34,Pochutla,15.7432,-96.4661,70.34,81,0,6.11,MX,1613272413
35,Khartoum,15.5518,32.5324,75.2,22,0,11.5,SD,1613272502
36,Mossamedes,-15.1961,12.1522,72.81,72,63,5.93,AO,1613272458
37,Ribeira Grande,38.5167,-28.7,57.54,67,83,30.65,PT,1613272466
38,Ponta do Sol,32.6667,-17.1,54.0,46,0,3.0,PT,1613272433
39,Mandurah,-32.55,115.7,90.0,35,51,4.12,AU,1613272503
40,Domoni,-12.2569,44.5319,80.82,82,100,9.31,KM,1613272503
41,Aksu,41.1231,80.2644,38.08,68,100,3.89,CN,1613272503
42,East London,-33.0153,27.9116,75.2,94,90,10.36,ZA,1613272466
43,Castro,-24.7911,-50.0119,62.44,95,0,3.83,BR,1613272449
44,Najrān,17.4924,44.1277,53.6,43,0,3.44,SA,1613272504
45,Lata,40.1629,-8.3327,52.0,93,40,3.44,PT,1613272396
46,Coquimbo,-29.9533,-71.3436,62.6,88,0,2.42,CL,1613272505
47,Punta Arenas,-53.15,-70.9167,46.4,76,90,11.5,CL,1613272371
48,Kupang,-10.1667,123.5833,84.2,84,75,11.5,ID,1613272505
49,Lüderitz,-26.6481,15.1594,63.7,86,8,9.69,NA,1613272413
50,Zhanakorgan,43.9098,67.2495,37.31,80,0,1.7,KZ,1613272506
51,Yertsevo,60.7966,40.086,-0.92,89,100,11.3,RU,1613272506
52,Dikson,73.5069,80.5464,-20.83,88,100,12.35,RU,1613272396
53,Upernavik,72.7868,-56.1549,5.88,94,96,9.1,GL,1613272406
54,Bluff,-46.6,168.3333,58.28,81,100,3.85,NZ,1613272414
55,New Norfolk,-42.7826,147.0587,75.99,38,0,4.0,AU,1613272395
56,Dingle,10.9995,122.6711,81.07,82,100,11.05,PH,1613272469
57,Malaut,30.2167,74.4833,59.99,33,0,3.78,IN,1613272507
58,Province of Mantua,45.1667,10.7833,26.6,63,0,6.91,IT,1613272467
59,Aklavik,68.2191,-135.0107,-9.4,77,20,3.44,CA,1613272427
60,Hilo,19.7297,-155.09,73.4,83,75,3.44,US,1613272421
61,Ancud,-41.8697,-73.8203,54.0,81,0,3.44,CL,1613272509
62,Butaritari,3.0707,172.7902,81.5,78,71,14.9,KI,1613272261
63,Barrow,71.2906,-156.7887,-13.0,77,75,9.22,US,1613272408
64,Vila Franca do Campo,37.7167,-25.4333,57.2,77,20,19.57,PT,1613272389
65,Mango,27.9797,-82.3065,73.99,100,90,3.44,US,1613272510
66,Necochea,-38.5473,-58.7368,66.0,94,95,3.0,AR,1613272510
67,Pilāni,28.3684,75.6041,66.24,32,0,5.53,IN,1613272510
68,Dābhol,17.6,73.1667,72.27,65,5,4.09,IN,1613272511
69,Bela Palanka,43.2183,22.3111,21.0,73,90,14.97,RS,1613272511
70,Longhua,23.6137,114.1919,74.66,47,0,1.28,CN,1613272329
71,Pisco,-13.7,-76.2167,69.8,83,0,16.11,PE,1613272511
